ID cliente,Volumen Medio Anual,Precio Promedio por caja,Días de Retraso,Periodos con Compra promedio
1,15008,18115,45,6.00
2,27294,14232,40,10.00
3,18126,16901,10,10.00
4,14745,19153,15,11.00
5,11634,17704,60,11.00
6,10621,19544,0,11.00
7,6946,23159,30,9.00
8,12891,17803,10,12.00
9,12294,17564,65,7.00
10,12781,16806,15,11.00
11,11052,19689,0,12.00
12,8142,16605,0,11.00
13,5558,16829,30,8.00
14,4816,19408,15,10.00
15,2786,19129,10,5.00
16,4702,16873,0,11.00
17,4298,18531,0,12.00
18,3199,26306,30,10.00
19,4229,19852,10,10.00
20,9311,16795,25,8.00
21,1746,21771,15,8.00
22,2635,19531,30,5.00
23,3702,19109,45,7.00
24,2080,20181,15,11.00
25,2254,18954,15,10.00
26,554,49462,20,11.00
27,1653,17629,35,8.00
28,2053,21813,10,10.00
29,1402,19512,0,6.00
30,8875,16879,0,8.00
31,1227,18530,15,7.00
32,1170,26268,0,12.00
33,1576,18965,0,9.00
34,1293,18392,30,6.00
35,1275,17415,10,7.00
36,3404,18056,45,9.00
37,889,29437,15,8.00
38,1545,19433,30,10.00
39,528,25574,15,2.00
40,824,20175,25,4.00
41,1603,19392,0,8.00
42,838,24383,10,11.00
43,1236,21032,10,8.00
44,1170,22125,45,6.00
45,1031,19134,0,8.00
46,848,14869,0,2.00
47,1462,19484,0,7.00
48,813,21052,0,1.00
49,572,22896,10,4.00
50,662,21980,0,6.00
51,327,39526,40,0.00
52,414,30932,0,1.00
53,843,19851,15,6.00
54,202,50928,20,10.00
55,3912,18470,30,8.00
56,725,27116,0,7.00
57,632,20744,0,6.00
58,305,24219,0,7.00
59,617,22511,0,7.00
60,422,18053,0,0.00
61,281,23853,0,4.00
62,278,20389,0,6.00
63,292,26083,0,7.00
64,73,49528,10,2.00
65,272,29450,10,10.00
66,245,20675,0,0.00
67,179,26590,0,1.00
68,230,21472,0,4.00
69,79,20777,0,2.00
70,5953,20182,0,9.00
71,595,24622,10,9.00
72,171,20891,0,5.00
73,117,23473,0,6.00
74,367,17824,0,3.00
75,85,23815,0,2.00
76,185,23013,0,8.00
77,145,23192,0,3.00
78,149,21584,0,3.00
79,142,21445,0,3.00
80,91,17682,45,1.00
81,279,24574,0,4.00
82,44,35026,0,5.00
83,316,26832,0,6.00
84,196,21627,0,4.00
85,121,24827,0,3.00
86,120,23203,0,2.00
87,157,25819,0,2.00
88,489,22744,0,5.00
89,112,25905,0,2.00
90,158,27920,0,7.00
91,48,25839,0,1.00
92,95,22781,0,4.00
93,774,22885,0,5.00
94,386,20296,0,3.00
95,114,19044,10,2.00
96,122,17585,0,2.00
97,63,28479,0,1.00
98,550,17906,10,1.00
99,25,23844,0,3.00
100,75,20559,0,1.00
101,110,20774,0,1.00
102,5,25560,0,1.00
103,10,25408,0,0.00
104,497,22349,15,1.00
105,141,16257,0,0.00
106,145,22804,0,4.00
107,819,21425,10,5.00
108,542,19853,0,2.00
109,139,24805,15,1.00
110,387,23199,0,3.00
111,59,19849,0,1.00
112,2,20262,0,0.00
113,830,23590,0,1.00
114,78,23788,10,2.00
115,82,17014,0,2.00
116,400,21791,0,1.00
117,82,21652,0,1.00
118,430,14470,0,2.00
119,121,29730,0,2.00
120,40,24342,0,0.00
121,24,34329,0,1.00
122,60,23363,0,2.00
123,262,20936,0,2.00
124,69,18023,0,1.00
125,23,32555,0,0.00
126,1386,17424,15,1.00
127,95,18371,0,1.00
128,135,23509,10,3.00
129,47,25079,0,0.00
130,74,14003,0,0.00
131,85,29317,0,3.00
132,23,28512,0,1.00
133,544,22889,0,3.00
134,31,17970,0,1.00
135,94,18465,0,1.00
136,120,23446,0,3.00
137,317,21162,0,2.00
138,44,30979,0,1.00
139,668,15853,10,1.00
140,10,16682,0,0.00
141,153,26891,0,4.00
142,212,26848,10,2.00
143,943,19719,20,4.00
144,1868,20753,10,6.00
145,488,22320,0,3.00
146,967,20306,35,4.00
147,539,16520,0,0.00
148,1695,22625,15,3.00
149,732,8511,25,2.00